"IDIngredient";"IDRecipe";"quantite";"optionnel"
1;1;60.0;0
2;1;200.0;0
3;1;140.0;0
4;1;0.5;1
5;1;2.0;1
6;2;0.5;0
7;2;100.0;0
8;2;1.0;0
9;2;0.5;1
4;2;0.5;1
10;2;100.0;0
11;2;125.0;0
12;3;200.0;0
13;3;300.0;0
4;3;0.5;1
14;3;15.0;1
15;3;1.0;1
16;4;1.0;0
17;4;400.0;0
18;4;3.0;0
19;4;20.0;0
20;4;10.0;0
21;4;60.0;0
22;4;1.0;0
23;5;1.0;0
24;5;300.0;0
9;5;1.0;1
25;5;600.0;0
4;5;1.0;1
26;5;70.0;0
19;5;50.0;0
27;5;70.0;0
28;6;0.5;0
4;6;0.5;1
3;6;0.5;0
29;6;1.0;0
30;6;1.0;1
10;6;120.0;0
31;6;2.2;0
32;6;3.0;0
18;7;1.0;0
4;7;0.5;1
3;7;0.5;0
11;7;150.0;0
30;7;1.0;1
10;7;125.0;0
31;7;4.5;0
33;7;1.0;1
34;8;100.0;0
35;8;0.5;0
36;8;1.0;0
37;8;1.0;0
38;8;40.0;1
4;9;0.5;1
9;9;0.5;1
24;9;170.0;0
10;9;50.0;0
39;9;62.0;0
40;9;125.0;0
41;9;9.0;0
42;9;62.0;0
4;10;0.5;1
9;10;0.5;1
24;10;170.0;0
10;10;50.0;0
39;10;62.0;0
40;10;125.0;0
43;10;9.0;0
42;10;62.0;0
44;10;100.0;1
10;11;100.0;0
45;11;2.0;0
46;11;125.0;0
28;11;0.5;0
47;11;0.5;0
48;11;75.0;0
49;11;60.0;0
42;11;70.0;0
